GCdata,name,temp,pressure,column,sensor,retentionTime,length,coeffA,coeffB,coeffC,maxSignal,concentration,CalibrationConcentration,timestamp,slope,constant,unit
Table,Amonia,,,,,70,15,,,,0.0023,28.30200000000013,,7/30/2024,0.000083,0,ppm
Table,Ethylene,,,,,85,20,-0.0064,0.0122,0.0002,0.0016,0.06315398522244929,,7/30/2024,0.025444,0.000656,ppm
Table,Acetylene,,,,,100,20,,,,0.0031,13.334934782608677,,7/30/2024,0.00023,-0.000633,ppm
Table,Hydrogen Sulfide,,,,,105,20,,,,0.0031,0.3528166340733919,,7/30/2024,0.008693,-0.003633,ppm
Table,Methane,,,,,70,15,,,,0.0023,2349.0660000000107,,7/30/2024,0.000001,0.001811,ppm
Table,Propane,,,,,120,15,,,,0.0011,1.0894013409961716,,7/30/2024,0.001044,-0.1,ppm
Table,Acetaldehyde,,,,,180,20,,,,0.0007,0.0007076150000000087,,7/30/2024,,,ppm
Table,Methanol,,,,,120,15,0.084,0.234,0,0.0011,0.04959381677059274,,7/30/2024,0.022933,-0.004833,ppm
Table,Carbon Disulfide,,,,,360,30,,,,0.0017,0.0016754139999999862,,7/30/2024,,,ppm
Table,Furan,,,,,360,20,,,,0.0017,0.0016754139999999862,,7/30/2024,,,ppm
Table,Dimethyl sulfide,,,,,360,20,,,,0.0017,0.0016754139999999862,,7/30/2024,,,ppm
Table,Acetone,,,,,410,30,0.084,0.234,0,0.0016,0.0015988350000000068,,7/30/2024,,,ppm
Table,Isoprene,,,,,470,20,,,,0.0012,0.001245035999999991,,7/30/2024,,,ppm
Table,Ethanol,,,,,450,30,,,,0.0018,0.624761267605632,,7/30/2024,0.00284,-0.0035,ppm
Table,Isopropanol,,,,,840,40,,,,0,0,,7/30/2024,,,ppm
Table,Butyraldehyde,,,,,900,30,,,,0,0,,7/30/2024,,,ppm
Table,2-Butanone,,,,,915,30,,,,0,0,,7/30/2024,,,ppm
Table,Benzene,,,,,1400,60,0.084,0.234,0,0,0,,7/30/2024,,,ppm
Table,trans-2-butene,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Butanol,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Hexanal,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Carbon Monoxide,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Hydrogen ,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Phenol,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Butane,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,tert-Butyl isothiocyanate,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Dimethylaminoacetonitrile,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Dimethyl disulfide,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,2-Methylfuran,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,3-Methylfuran,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,2-methyl-2-propanamine,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Thiourea,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Thiobismethane,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Tetramethylurea,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,2-Propenenitrile,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Tetramethylthiourea,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Ethyl Butyrate,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Toluene,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,EthylBenzene,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Xylene,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Benzaldehyde,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,p-Cymene,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Decanal,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,2-Ethylhexanol,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Limonene,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,Nonanal,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,2-Pentylfuran,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,a-Pinene,,,,,,,,,,0,0,,7/30/2024,,,ppm
Table,b-Pinene,,,,,,,,,,0,0,,7/30/2024,,,ppm
